*PRIME HOOK NWR     70301   38.800  -75.200  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      93       97       92       80       74       77       87       -99      -99      -99      
Min Temp (F)          -99      51       53       48       45       47       49       51       -99      -99      -99      
Min RH (%)            -99      0        81       83       69       55       54       58       -99      -99      -99      
Max Temp (F)          -99      62       58       52       59       61       65       67       -99      -99      -99      
WSpd (knt)            -99      13       26       22       19       18       15       14       -99      -99      -99      
BI                    -99      26       11       9        19       24       22       21       -99      -99      -99      
ERC                   -99      18       2        1        6        10       12       13       -99      -99      -99      
IC                    -99      1        1        7        12       14       10       8        -99      -99      -99      
10-hr fuel (%)        -99      18       20       16       13       11       12       12       -99      -99      -99      
100-hr fuel (%)       -99      19       29       30       25       21       18       17       -99      -99      -99      
1000-hr fuel (%)      -99      19       24       26       26       26       25       25       -99      -99      -99      


*MIDEWIN TALL GRASS 112001  41.340  -88.130  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      90       92       87       91       90       97       -99      -99      -99      
Min Temp (F)          -99      49       43       44       56       65       66       63       -99      -99      -99      
Min RH (%)            -99      0        83       51       59       60       57       53       -99      -99      -99      
Max Temp (F)          -99      51       63       68       79       85       85       83       -99      -99      -99      
WSpd (knt)            -99      15       12       14       15       11       11       11       -99      -99      -99      
BI                    -99      5        26       26       29       26       27       28       -99      -99      -99      
ERC                   -99      6        18       18       19       21       22       23       -99      -99      -99      
IC                    -99      0        17       11       12       12       14       15       -99      -99      -99      
10-hr fuel (%)        -99      23       9        11       11       11       10       10       -99      -99      -99      
100-hr fuel (%)       -99      20       18       17       16       16       15       15       -99      -99      -99      
1000-hr fuel (%)      -99      23       23       22       22       22       21       21       -99      -99      -99      


*CRAB ORCHARD NWR   119001  37.600  -89.000  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      90       92       78       88       84       84       -99      -99      -99      
Min Temp (F)          -99      58       52       49       61       67       67       67       -99      -99      -99      
Min RH (%)            -99      0        80       52       53       53       54       52       -99      -99      -99      
Max Temp (F)          -99      63       69       73       86       89       88       87       -99      -99      -99      
WSpd (knt)            -99      12       10       10       13       9        7        7        -99      -99      -99      
BI                    -99      27       27       27       34       27       24       25       -99      -99      -99      
