station_name,station_id,psa_name,psa_code,gaccid,rs
Tusayan,20207,Northwest AZ,SW01,10,13
Dry Park,20212,Northwest AZ,SW01,10,12
Frazier Wells,20213,Northwest AZ,SW01,10,13
Moss Basin,20115,West-Central AZ,SW02,10,13
Iron Springs,20501,West-Central AZ,SW02,10,13
Stanton,20509,West-Central AZ,SW02,10,13
Squaw Lake,45801,Southwest AZ,SW03,10,13
Piney Hill,20402,Four Corners Area,SW04,10,12
Washington Pass,290101,Four Corners Area,SW04,10,12
Albino,290102,Four Corners Area,SW04,10,13
Flagstaff,20209,Western Mogollon Rim,SW05,10,13
Heber,20301,Western Mogollon Rim,SW05,10,13
Lakeside,20303,Western Mogollon Rim,SW05,10,13
Globe,20601,Central AZ/Phoenix Metro,SW06N,10,13
Tonto Basin,20606,Central AZ/Phoenix Metro,SW06N,10,13
Columbine,21005,Southeast AZ,SW06S,10,13
Muleshoe,21007,Southeast AZ,SW06S,10,13
Saguaro,21202,Southeast AZ,SW06S,10,13
Sasabe,21206,Southeast AZ,SW06S,10,13
Jemez,290702,Northwest NM Mtns.,SW07,10,13
Tower,290801,Northwest NM Mtns.,SW07,10,13
Grants,291302,Northwest NM Mtns.,SW07,10,13
Alpine,20401,White Mtns. & Gila Region,SW08,10,13
Beaverhead,292001,White Mtns. & Gila Region,SW08,10,13
Slaughter,292008,White Mtns. & Gila Region,SW08,10,13
Pelona,292009,White Mtns. & Gila Region,SW08,10,13
Bosque,292103,South/Central NM Lowlands,SW09,10,12
Hachita Valley,292702,South/Central NM Lowlands,SW09,10,13
Dripping Springs,292903,South/Central NM Lowlands,SW09,10,13
Truchas,290210,Sangre De Cristo Mountains,SW10,10,13
Pecos,291202,Sangre De Cristo Mountains,SW10,10,13
Mountainair,291501,Central NM Mtns. & Plains,SW11,10,13
Chupadera,292102,Central NM Mtns. & Plains,SW11,10,13
Smokey Bear,292203,South-Central NM Mtns.,SW12,10,13
Mayhill,293002,South-Central NM Mtns.,SW12,10,13
Mescal,293003,South-Central NM Mtns.,SW12,10,12
Cedar,418701,Northeast & East-Central NM Plains,SW13,10,13
Eight Mile,292301,Northeast & East-Central NM Plains,SW13,10,12
Eight Mile,292301,Southeast NM Plains,SW14N,10,12
Batdraw,293101,Southeast NM Plains,SW14N,10,12
Caprock,293104,Southeast NM Plains,SW14N,10,12
Notchko,40427,North Coast,NC01,4,12
Westside,40428,North Coast,NC01,4,12
Eel River Camp,40421,North Coast,NC01,4,12
Gasquet,40102,North Coast,NC01,4,12
School House,40425,North Coast,NC01,4,13
Soda Creek,41406,Mid Coast To Mendocino,NC02,4,13
Konocti,41411,Mid Coast To Mendocino,NC02,4,12
Eel River,41005,Mid Coast To Mendocino,NC02,4,12
Boonville,41001,Mid Coast To Mendocino,NC02,4,12
Rodeo Valley,41015,Mid Coast To Mendocino,NC02,4,13
Oakland North,43402,Bay Marine,NC03A,4,13
La Honda,43304,Bay Marine,NC03A,4,13
Corralitos,43802,Bay Marine,NC03A,4,13
Las Trampas,43009,Bay Marine,NC03A,4,13
Rose Peak,43404,Diablo-Santa Cruz Mtns,NC03B,4,13
Ben Lomond,43809,Diablo-Santa Cruz Mtns,NC03B,4,12
Black Diamond,43008,Diablo-Santa Cruz Mtns,NC03B,4,13
Diablo Grande,43502,Diablo-Santa Cruz Mtns,NC03B,4,13
Hoopa,40408,Northwestern Mtn,NC04,4,12
Hayfork,40503,Northwestern Mtn,NC04,4,13
Ash Creek,40244,Northwestern Mtn,NC04,4,12
Pattymocus,40812,Northwestern Mtn,NC04,4,12
Quartz Hill,40239,Northwestern Mtn,NC04,4,12
Sawyers Bar,40222,Northwestern Mtn,NC04,4,12
Sugarloaf (SHF),40614,Northwestern Mtn,NC04,4,12
Trinity Camp,40516,Northwestern Mtn,NC04,4,13
Somes Bar,40231,Northwestern Mtn,NC04,4,13
Ship Mtn L.O.,40105,Northwestern Mtn,NC04,4,12
Oak Knoll,40218,Northwestern Mtn,NC04,4,12
Mt Shasta,40217,Northwestern Mtn,NC04,4,12
Underwood,40519,Northwestern Mtn,NC04,4,12
Blue Ridge (KNF),40203,Northwestern Mtn,NC04,4,12
Stonyford,41503,Sac Valley/Foothills,NC05,4,12
Lincoln,41907,Sac Valley/Foothills,NC05,4,13
Eagle Peak,40802,Sac Valley/Foothills,NC05,4,13
Corning,40814,Sac Valley/Foothills,NC05,4,12
County Line,41410,Sac Valley/Foothills,NC05,4,13
Cohasset,41211,Sac Valley/Foothills,NC05,4,12
Brooks,42202,Sac Valley/Foothills,NC05,4,12
Bangor,41201,Sac Valley/Foothills,NC05,4,12
Whitmore,40615,Sac Valley/Foothills,NC05,4,13
Thomes Creek,40816,Sac Valley/Foothills,NC05,4,12
Redding,40611,Sac Valley/Foothills,NC05,4,12
Devils Garden,40309,NE California,NC06,4,12
Timber Mountain,40306,NE California,NC06,4,13
Weed Airport,40228,NE California,NC06,4,12
Van Bremmer,40243,NE California,NC06,4,12
Rush Creek,40312,NE California,NC06,4,13
Round Mountain,40221,NE California,NC06,4,13
Juniper Creek,40308,NE California,NC06,4,12
Indian Well,40233,NE California,NC06,4,12
Bald Mtn,42603,Northern Sierra,NC07,4,13
Carpenter Ridge,41213,Northern Sierra,NC07,4,12
Cashman,40916,Northern Sierra,NC07,4,12
SeedOrchard,41908,Northern Sierra,NC07,4,12
Ladder Butte,40723,Northern Sierra,NC07,4,12
Manzanita Lake,40609,Northern Sierra,NC07,4,12
Pike Cnty LO,41701,Northern Sierra,NC07,4,13
Soldier Mountain,40630,Northern Sierra,NC07,4,13
Westwood,40719,Northern Sierra,NC07,4,12
Whitecloud,41806,Northern Sierra,NC07,4,12
Beaver,42601,Northern Sierra,NC07,4,13
Gordon,40730,Northern Sierra,NC07,4,13
Quincy,40910,Northern Sierra,NC07,4,13
Barrel Springs,260111,Far Eastside,NC08,4,12
Bull Flat,40728,Far Eastside,NC08,4,12
Laufman,40709,Far Eastside,NC08,4,13
Ravendale,40714,Far Eastside,NC08,4,12
Stampede,41310,Far Eastside,NC08,4,12
Crestview,43709,Eastern Sierra,SC01,8,12
Rock Creek,43710,Eastern Sierra,SC01,8,12
Mt. Elizabeth,43605,Central Sierra,SC02,8,13
